#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
30000,60.00000000002736,-864011.9923282699,302.5349724690767,1.0251703937336372,0
35000,70.00000000001826,-863114.6290548341,299.9067824911127,1.0235515763914864,269
40000,79.99999999999496,-862377.6616148199,302.2299480894601,1.0291907147916692,268
45000,89.99999999997165,-863900.2013657121,299.77347289070434,1.0252694942438505,268
50000,99.99999999994834,-864128.5710377437,298.40724979457394,1.0284975739486761,267
55000,109.99999999992504,-864466.1533575486,300.18364019649584,1.023591857230898,267
60000,119.99999999990173,-863562.614684735,301.4636513622517,1.0238546031150464,266
65000,129.99999999989262,-862236.9025029587,302.3174671825331,1.0273078141535914,266
70000,139.99999999994037,-863223.8222192195,301.96032290938746,1.0246859419823917,266
75000,149.99999999998812,-865583.1046081958,302.5480475648901,1.0275893505708418,266
80000,160.00000000003587,-863347.3274680837,299.98593427344196,1.0278295245370994,266
85000,170.00000000008362,-863142.269506543,300.8715573862171,1.0272215890982546,265
90000,180.00000000013137,-863908.387915465,301.6302850437041,1.0280188384482585,265
95000,190.0000000001791,-865194.9658110421,302.6552963896248,1.0283225537783514,265
100000,200.00000000022686,-865593.9631322003,299.2049895061719,1.0266860385935226,265
105000,210.0000000002746,-862662.3473386969,300.92353043254303,1.0265040919238984,264
110000,220.00000000032236,-862973.7924917969,298.1901351574765,1.0257137277501929,265
115000,230.0000000003701,-864733.777984865,298.64014579286703,1.0286459564460213,265
120000,240.00000000041786,-865055.8851766391,302.00332435868404,1.0286397224438806,265
125000,250.0000000004656,-864555.4582545799,299.94377888364374,1.023926487572785,265
