#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
30000,60.00000000002736,-861864.382408584,300.8686529528704,1.0234557878751707,0
35000,70.00000000001826,-863485.1918882793,300.6079432691664,1.0241084443064703,257
40000,79.99999999999496,-865562.9800216793,301.01771402185295,1.0268027585108352,261
45000,89.99999999997165,-863842.200721967,301.3092825571283,1.0250102087601936,263
50000,99.99999999994834,-863239.2062840643,302.75741669689273,1.0247461337915333,263
55000,109.99999999992504,-862233.9879416949,299.8516348711376,1.0239186935177207,263
60000,119.99999999990173,-865523.0614144928,300.62202557462274,1.0262124363779122,263
65000,129.99999999989262,-862361.7952895206,299.68015799936455,1.023818835902917,263
70000,139.99999999994037,-862761.7862604163,299.1711854343394,1.0253155183699927,263
75000,149.99999999998812,-864779.4942999235,300.4995870117942,1.0229612354866142,263
80000,160.00000000003587,-864427.1674894262,300.22368243692415,1.027387363798866,263
85000,170.00000000008362,-863130.3741303566,298.2121227892974,1.0229386245773326,264
90000,180.00000000013137,-862781.867316518,300.1960898943449,1.0211050103367114,264
95000,190.0000000001791,-864180.5826633638,300.0173181373521,1.0283607926976008,264
100000,200.00000000022686,-863503.0142940646,302.2875682986455,1.0249930814866535,264
105000,210.0000000002746,-862531.2065151525,300.5014311061397,1.0261868018353892,263
110000,220.00000000032236,-862452.6271263123,300.5198581269545,1.0247242640031513,263
115000,230.0000000003701,-864729.3142587822,299.3655469859244,1.025849309526446,263
120000,240.00000000041786,-864594.1196861817,298.2442461337853,1.0242291757303839,263
125000,250.0000000004656,-863340.7684000614,299.41779371900634,1.0269450880761584,263
