#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
30000,60.00000000002736,-867104.2939675809,302.0394184230503,1.0264868676805146,0
35000,70.00000000001826,-867146.810608618,301.567859596794,1.0247861218418945,274
40000,79.99999999999496,-868487.0818686336,301.40284698544315,1.022970334085627,273
45000,89.99999999997165,-870598.1375656012,302.2793119557955,1.0254544582249892,275
50000,99.99999999994834,-868249.4120062715,299.6068261271864,1.0232880379596963,276
55000,109.99999999992504,-869238.2677251734,300.79843880209626,1.0277834449630843,275
60000,119.99999999990173,-867711.3092090208,299.04831537146293,1.0235147235962232,275
65000,129.99999999989262,-869320.4901239485,300.15115070012405,1.0251159738626878,275
70000,139.99999999994037,-868710.6756003876,301.3172771374442,1.0255293139788255,275
75000,149.99999999998812,-868560.793916122,303.2678129704066,1.025454921001023,276
80000,160.00000000003587,-868222.7263920032,299.49461988904886,1.0240457591217966,275
85000,170.00000000008362,-868180.8669852349,301.6797233808374,1.0244809415989955,274
90000,180.00000000013137,-867007.900117951,299.9040050693285,1.0226784271478384,274
95000,190.0000000001791,-868973.4733824544,300.55398374639566,1.0255891869681253,274
100000,200.00000000022686,-867618.8504721313,298.0850677404865,1.0226532169004552,273
105000,210.0000000002746,-869838.8102897829,300.6168823880587,1.027525965548341,272
110000,220.00000000032236,-868765.6147056795,298.4994922502323,1.0248898472076295,273
115000,230.0000000003701,-868014.826065199,299.8801467201783,1.0261840858885698,273
120000,240.00000000041786,-867247.6967901587,298.3312062889262,1.024861427251257,272
125000,250.0000000004656,-867889.4269342097,300.5638378239377,1.0262650425258253,272
