mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL13280_div,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,313.29,2.55,0,4,2,75.81,False,True,True,True
CHEMBL13376_div,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,357.79,3.93,1,3,5,68.53,False,True,True,True
CHEMBL134_div,Clc1cccc(Cl)c1NC1=NCCN1,230.1,2.36,2,3,1,36.42,False,True,True,True
CHEMBL135_div,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,272.39,3.61,2,2,0,40.46,False,True,True,True
CHEMBL1369722,Oc1ncnc2scc(-c3ccccc3)c12,228.28,3.06,1,4,1,46.01,False,True,True,True
CHEMBL1375716,Cc1sc(N)nc1-c1ccc2c(c1)OCCO2,248.31,2.47,1,5,1,57.37,False,True,True,True
CHEMBL13766_div,COc1ccccc1O,124.14,1.4,1,2,1,29.46,False,True,True,True
CHEMBL137_div,Cc1ncc([N+](=O)[O-])n1CCO,171.16,0.09,1,4,3,81.19,False,True,True,True
CHEMBL13960_div,O=C(O)C(Cl)Cl,128.94,0.87,1,1,1,37.3,False,True,True,True
CHEMBL139_div,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.15,4.36,2,2,4,49.33,False,True,True,True
CHEMBL13_div,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.37,1.61,2,4,9,50.72,False,True,True,True
CHEMBL14053_div,O=C(O)C(Cl)(Cl)Cl,163.39,1.44,1,1,0,37.3,False,True,True,True
CHEMBL14060_div,Oc1ccccc1,94.11,1.39,1,1,0,20.23,False,True,True,True
CHEMBL140_div,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.39,3.37,2,6,8,93.06,False,True,True,True
CHEMBL1411567,COc1ccc2nc(NCc3cccnc3)sc2c1,271.35,3.31,1,5,4,47.04,False,True,True,True
CHEMBL141_div,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,229.26,-0.59,2,6,2,90.37,False,True,True,True
CHEMBL14370_div,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,313.4,3.19,1,4,6,39.72,False,True,True,True
CHEMBL14376_div,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.49,4.83,0,6,8,64.8,False,True,True,True
CHEMBL1441223,CC(=O)Oc1ccc2c(c1)cc(C)n2C,203.24,2.41,0,2,1,31.23,False,True,True,True
CHEMBL145_div,O=C(O)/C=C/c1ccc(O)c(O)c1,180.16,1.2,3,3,2,77.76,True,True,True,False
CHEMBL148_div,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,299.35,-0.18,4,5,7,113.72,False,True,True,True
CHEMBL14_div,C[N+](C)(C)CCOC(N)=O.[Cl-],182.65,-3.21,1,2,3,52.32,False,True,True,True
CHEMBL15023_div,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,409.42,4.79,1,3,6,40.54,False,True,True,True
CHEMBL1516633,O=C(NCCN1CCOCC1)c1ccc(-c2ccccc2)cc1,310.4,2.42,1,3,5,41.57,False,True,True,True
CHEMBL15245_div,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,354.45,2.65,2,4,1,65.56,True,True,True,False
CHEMBL152_div,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,279.19,-1.66,4,6,6,147.9,False,True,True,True
