mol_id,smiles,vina_score,status
CHEMBL4092256,Cc1c(CO)cccc1-c1cccc(OCCO)c1,-4.55,ok
CHEMBL273575_div,CN1Cc2c(N)cccc2C(c2ccccc2)C1,-4.547,ok
CHEMBL158_div,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-4.516,ok
CHEMBL22_div,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-4.48,ok
CHEMBL290194_div,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,-4.476,ok
CHEMBL4078309,COc1nc(OCc2cccc(-c3ccccc3)c2)ccc1CNCCNC(C)=O,-4.445,ok
CHEMBL24_div,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-4.444,ok
CHEMBL434394_div,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,-4.424,ok
CHEMBL274654_div,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,-4.407,ok
CHEMBL420_div,N=C(N)N/N=C/c1c(Cl)cccc1Cl,-4.4,ok
CHEMBL19224_div,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,-4.396,ok
CHEMBL18901_div,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,-4.385,ok
CHEMBL26_div,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-4.383,ok
CHEMBL1375716,Cc1sc(N)nc1-c1ccc2c(c1)OCCO2,-4.379,ok
CHEMBL15023_div,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,-4.364,ok
CHEMBL11608_div,NCCc1ccc(O)cc1,-4.361,ok
CHEMBL424_div,O=C(O)c1ccccc1O,-4.345,ok
CHEMBL301523_div,N[C@@H](Cc1ccccc1)C(=O)O,-4.344,ok
CHEMBL435_div,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-4.339,ok
CHEMBL12713_div,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,-4.324,ok
CHEMBL118_div,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-4.317,ok
CHEMBL1516633,O=C(NCCN1CCOCC1)c1ccc(-c2ccccc2)cc1,-4.312,ok
CHEMBL24944_div,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,-4.31,ok
