#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
30000,60.00000000002736,-868969.2517920034,300.0650789988139,1.0258605847786597,0
35000,70.00000000001826,-868518.5166567056,299.4688209816159,1.022664012731938,266
40000,79.99999999999496,-866814.7607548665,299.4371984663442,1.0245691074510672,270
45000,89.99999999997165,-868833.3283311366,300.9346843884243,1.0229422688052285,268
50000,99.99999999994834,-867931.9401492663,300.3073612429868,1.0253244841372615,267
55000,109.99999999992504,-867800.1456206469,299.0863062072459,1.0226231020129142,267
60000,119.99999999990173,-869736.7878519017,301.3125095514768,1.027077138658592,267
65000,129.99999999989262,-869030.089574805,301.6827045180247,1.0283555314877202,268
70000,139.99999999994037,-868455.2338226554,300.30880937941293,1.025506505941098,269
75000,149.99999999998812,-866640.1335732844,298.73176461079106,1.0263536393191393,269
80000,160.00000000003587,-867457.3517555408,297.4913929114191,1.0229014813373571,270
85000,170.00000000008362,-867901.1445981488,300.53085218145407,1.0255108849871382,270
90000,180.00000000013137,-868025.8696987606,299.2280801467153,1.026812930512482,269
95000,190.0000000001791,-868305.3050008002,299.5319130108285,1.0251004233436327,269
100000,200.00000000022686,-868400.1969476743,300.7647152539768,1.0247197699656927,269
105000,210.0000000002746,-867994.6285802545,299.8837059726983,1.0208661246035673,269
110000,220.00000000032236,-868654.7442054134,300.92109448199966,1.023787686630168,269
115000,230.0000000003701,-867290.7213527798,299.5427673888916,1.0238399389603403,269
120000,240.00000000041786,-866747.340179428,300.67833832815995,1.0275215563667173,269
125000,250.0000000004656,-867464.5789171639,301.7072334358117,1.0269950632091878,269
