time_ps,ligand_rmsd_A,mol_id
0.0,0.0,CHEMBL19019_div
10.0,0.21695957,CHEMBL19019_div
20.0,0.27593726,CHEMBL19019_div
30.0,0.18134637,CHEMBL19019_div
40.0,0.20399171,CHEMBL19019_div
50.0,0.29112703,CHEMBL19019_div
60.0,0.26145262,CHEMBL19019_div
70.0,0.41347936,CHEMBL19019_div
80.0,0.2631614,CHEMBL19019_div
90.0,0.21826991,CHEMBL19019_div
100.0,0.1875966,CHEMBL19019_div
110.0,0.4115003,CHEMBL19019_div
120.0,0.35524064,CHEMBL19019_div
130.0,0.4498785,CHEMBL19019_div
140.0,0.41174358,CHEMBL19019_div
150.0,0.33024278,CHEMBL19019_div
160.0,0.19770506,CHEMBL19019_div
170.0,0.2640586,CHEMBL19019_div
180.0,0.23787268,CHEMBL19019_div
190.0,0.26401886,CHEMBL19019_div
