time_ps,ligand_rmsd_A,mol_id
0.0,0.0,CHEMBL273264_div
10.0,0.23569372,CHEMBL273264_div
20.0,0.24417067,CHEMBL273264_div
30.0,0.24504042,CHEMBL273264_div
40.0,0.32452837,CHEMBL273264_div
50.0,0.2019965,CHEMBL273264_div
60.0,0.26162598,CHEMBL273264_div
70.0,0.3269774,CHEMBL273264_div
80.0,0.2781786,CHEMBL273264_div
90.0,0.35793173,CHEMBL273264_div
100.0,0.19997992,CHEMBL273264_div
110.0,0.28241846,CHEMBL273264_div
120.0,0.33867046,CHEMBL273264_div
130.0,0.21779417,CHEMBL273264_div
140.0,0.224078,CHEMBL273264_div
150.0,0.3983425,CHEMBL273264_div
160.0,0.26962814,CHEMBL273264_div
170.0,0.24756463,CHEMBL273264_div
180.0,0.195847,CHEMBL273264_div
190.0,0.29269946,CHEMBL273264_div
